,Contact ID,Average Pageviews,Number of Pageviews,Number of Sessions,IP Country,url0,url1,url2,url3
4637,11758,7,7,1,united states,9,9,9,1
4644,14202,1,1,1,united states,3,0,0,0
4656,10938,1,3,2,spain,8,6,3,0
4657,10962,2,2,1,india,3,4,0,0
4659,10973,1,2,2,saudi arabia,3,0,0,0
4663,10999,2,2,1,united states,3,0,0,0
4669,11398,2,2,1,united states,3,3,0,0
4671,11515,4,8,2,sweden,6,3,0,0
4678,12607,0,4,5,united states,3,2,3,3
4686,4557,5,5,1,germany,6,7,5,0
4687,10497,1,23,16,chile,3,8,3,8
4691,11022,1,6,5,united states,6,3,1,0
4692,11325,3,3,1,united kingdom,1,3,0,0
4705,12623,1,2,2,turkey,5,0,0,0
4706,12686,1,1,1,united states,3,0,0,0
4709,14701,1,1,1,india,3,0,0,0
4713,11393,1,4,3,india,4,3,3,0
4714,11404,0,4,5,ireland,3,3,0,0
4723,11613,1,5,5,singapore,3,0,0,0
4733,12891,1,1,1,netherlands,4,0,0,0
4748,11162,1,1,1,mexico,8,0,0,0
4766,12131,3,3,1,canada,6,6,0,0
4770,10720,2,5,2,peru,3,3,5,0
4774,11641,1,8,7,united states,2,4,0,0
4778,11942,1,1,1,united states,3,0,0,0
4782,12931,1,3,2,united states,3,0,0,0
4790,13118,1,5,5,india,3,1,1,6
4821,11999,0,2,3,turkey,3,5,0,0
4822,12000,2,2,1,india,5,0,0,0
4827,13253,1,1,1,united states,3,0,0,0
4829,15291,1,1,1,russian federation,3,0,0,0
4834,11170,1,1,1,united states,3,0,0,0
4838,11201,1,2,2,japan,3,0,0,0
4840,11297,3,33,11,brazil,7,4,9,9
4882,12350,1,1,1,france,3,0,0,0
4899,10956,3,3,1,india,8,1,0,0
4913,15351,1,1,1,australia,3,0,0,0
4914,15368,1,1,1,turkey,3,0,0,0
4915,15388,1,1,1,united kingdom,3,0,0,0
4920,10558,0,0,1,united states,4,0,0,0
4923,10712,1,18,18,united states,3,3,3,3
4925,10752,2,7,3,united kingdom,3,3,7,6
4936,11354,1,9,9,india,3,3,3,3
4938,11397,3,3,1,united states,3,4,0,0
4945,12530,2,4,2,india,1,3,0,0
4961,11803,1,1,1,united states,1,0,0,0
4964,11817,0,2,3,united states,3,3,3,0
4967,11847,1,1,1,united kingdom,3,0,0,0
4970,12329,3,3,1,united states,8,14,3,0
4973,12424,1,5,3,united states,3,12,6,7
4975,15572,6,6,1,canada,6,3,3,3
4978,15704,2,2,1,brazil,3,0,0,0
4985,12525,1,11,6,united states,3,3,1,3
4988,12633,1,41,21,hong kong,12,6,7,4
4996,12837,1,4,4,united states,3,3,3,3
4999,12874,1,7,4,australia,3,3,3,3
5024,12345,1,1,1,india,3,0,0,0
5027,13000,1,1,1,india,5,0,0,0
5030,13008,1,5,4,france,3,0,0,0
5034,13215,1,7,7,united states,3,3,0,0
5042,10942,1,10,7,united states,4,7,6,12
5048,11183,1,1,1,viet nam,3,0,0,0
